Zipcode,ZipCodeType,City,State,LocationType
10162,STANDARD,NYC,NY,NOT ACCEPTABLE
10163,PO BOX,NEW YORK,NY,PRIMARY
10164,UNIQUE,NEW YORK,NY,PRIMARY
10164,UNIQUE,GRAND CENTRAL BRM,NY,NOT ACCEPTABLE
10165,STANDARD,NEW YORK,NY,PRIMARY
10165,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10165,STANDARD,NYC,NY,NOT ACCEPTABLE
10166,STANDARD,NEW YORK,NY,PRIMARY
10166,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10166,STANDARD,NYC,NY,NOT ACCEPTABLE
10167,STANDARD,NEW YORK,NY,PRIMARY
10167,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10167,STANDARD,NYC,NY,NOT ACCEPTABLE
10168,STANDARD,NEW YORK,NY,PRIMARY
10168,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10168,STANDARD,NYC,NY,NOT ACCEPTABLE
10169,STANDARD,NEW YORK,NY,PRIMARY
10169,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10169,STANDARD,NYC,NY,NOT ACCEPTABLE
10170,STANDARD,NEW YORK,NY,PRIMARY
10170,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10170,STANDARD,NYC,NY,NOT ACCEPTABLE
10171,STANDARD,NEW YORK,NY,PRIMARY
10171,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10171,STANDARD,NYC,NY,NOT ACCEPTABLE
10172,STANDARD,NEW YORK,NY,PRIMARY
10172,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10172,STANDARD,NYC,NY,NOT ACCEPTABLE
10173,STANDARD,NEW YORK,NY,PRIMARY
10173,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10173,STANDARD,NYC,NY,NOT ACCEPTABLE
10174,STANDARD,NEW YORK,NY,PRIMARY
10174,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10174,STANDARD,NYC,NY,NOT ACCEPTABLE
10175,STANDARD,NEW YORK,NY,PRIMARY
10175,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10175,STANDARD,NYC,NY,NOT ACCEPTABLE
10176,STANDARD,NEW YORK,NY,PRIMARY
10176,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10176,STANDARD,NYC,NY,NOT ACCEPTABLE
10177,STANDARD,NEW YORK,NY,PRIMARY
10177,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10177,STANDARD,NYC,NY,NOT ACCEPTABLE
10178,STANDARD,NEW YORK,NY,PRIMARY
10178,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10178,STANDARD,NYC,NY,NOT ACCEPTABLE
10179,UNIQUE,NEW YORK,NY,PRIMARY
10179,UNIQUE,BEAR STEARNS,NY,ACCEPTABLE
10184,UNIQUE,NEW YORK,NY,PRIMARY
10184,UNIQUE,J C PENNEY,NY,NOT ACCEPTABLE
10185,PO BOX,NEW YORK,NY,PRIMARY
10196,UNIQUE,NEW YORK,NY,PRIMARY
10196,UNIQUE,NY TELEPHONE,NY,NOT ACCEPTABLE
10197,UNIQUE,CITICORP SERVICES INC,NY,NOT ACCEPTABLE
10197,UNIQUE,NEW YORK,NY,PRIMARY
10199,STANDARD,NEW YORK,NY,PRIMARY
